Theta1,Theta2,Theta3,X,Y,Z,Orientation_1_1,Orientation_1_2,Orientation_1_3,Orientation_2_1,Orientation_2_2,Orientation_2_3,Orientation_3_1,Orientation_3_2,Orientation_3_3
0.737313,0.096171,0.865541,15.114257,6.834784,1.233236,0.989573,-0.125272,0.071084,-0.129891,-0.989424,0.064556,0.062245,-0.073116,-0.995379
0.737313,0.096171,1.057883,14.831547,5.583615,1.131901,0.947377,-0.312128,0.071084,-0.316633,-0.946349,0.064556,0.04712,-0.083667,-0.995379
0.737313,0.096171,1.250226,14.314734,4.410688,1.018922,0.870241,-0.487471,0.071084,-0.491696,-0.86837,0.064556,0.030258,-0.091131,-0.995379
0.737313,0.096171,1.442568,13.582878,3.359262,0.898466,0.761009,-0.644836,0.071084,-0.648626,-0.758365,0.064556,0.012279,-0.095235,-0.995379
0.737313,0.096171,1.570796,12.988537,2.745191,0.816196,0.672301,-0.736857,0.071084,-0.740278,-0.669194,0.064556,0.0,-0.096023,-0.995379
0.737313,0.160285,-1.442568,4.591228,13.14598,1.493341,-0.57333,0.810761,0.118148,0.81907,0.56357,0.107299,0.020409,0.15829,-0.987182
0.737313,0.160285,-1.250226,5.700458,13.76658,1.69355,-0.407773,0.905407,0.118148,0.911697,0.396605,0.107299,0.050291,0.151469,-0.987182
0.737313,0.160285,-1.057883,6.910452,14.161893,1.881333,-0.227177,0.96666,0.118148,0.970699,0.215012,0.107299,0.078318,0.139062,-0.987182
0.737313,0.160285,-0.865541,8.176582,14.31734,2.049762,-0.038203,0.992261,0.118148,0.9939,0.02549,0.107299,0.103457,0.121527,-0.987182
0.737313,0.160285,-0.673198,9.452153,14.227186,2.192627,0.152181,0.981265,0.118148,0.980444,-0.164973,0.107299,0.12478,0.099509,-0.987182
0.737313,0.160285,-0.480856,10.690119,13.894757,2.304657,0.336952,0.934079,0.118148,0.930828,-0.349351,0.107299,0.141501,0.073821,-0.987182
0.737313,0.160285,-0.352628,11.471882,13.544239,2.360122,0.453633,0.883322,0.118148,0.878512,-0.465515,0.107299,0.149779,0.05512,-0.987182
0.737313,0.160285,-0.160285,12.54716,12.839482,2.412212,0.614122,0.780317,0.118148,0.773324,-0.624865,0.107299,0.157554,0.025472,-0.987182
0.737313,0.160285,0.032057,13.470684,11.943631,2.425369,0.751962,0.648533,0.118148,0.639615,-0.76117,0.107299,0.159518,-0.005115,-0.987182
0.737313,0.160285,0.224399,14.208393,10.889726,2.399108,0.862068,0.492829,0.118148,0.482316,-0.869401,0.107299,0.155598,-0.035514,-0.987182
0.737313,0.160285,0.416742,14.733078,9.716638,2.334398,0.940379,0.318949,0.118148,0.307228,-0.945567,0.107299,0.14594,-0.064603,-0.987182
0.737313,0.160285,0.609084,15.025389,8.467631,2.233625,0.984007,0.133306,0.118148,0.120809,-0.98686,0.107299,0.130899,-0.09131,-0.987182
0.737313,0.160285,0.737313,15.085476,7.615467,2.148193,0.992975,0.006379,0.118148,-0.006379,-0.994206,0.107299,0.118148,-0.107299,-0.987182
0.737313,0.160285,0.929655,14.970961,6.342913,1.99617,0.975884,-0.183554,0.118148,-0.196313,-0.974653,0.107299,0.095458,-0.127906,-0.987182
0.737313,0.160285,1.121997,14.615298,5.118869,1.820559,0.9228,-0.366718,0.118148,-0.379006,-0.919152,0.107299,0.069248,-0.143795,-0.987182
0.737313,0.160285,1.31434,14.031604,3.98848,1.627837,0.835681,-0.536356,0.118148,-0.547721,-0.829752,0.107299,0.040483,-0.15438,-0.987182
0.737313,0.160285,1.506682,13.241407,2.993437,1.425111,0.717741,-0.686213,0.118148,-0.696235,-0.709749,0.107299,0.010226,-0.159272,-0.987182
0.737313,0.224399,-1.506682,4.170085,12.81922,1.98695,-0.624679,0.763309,0.164727,0.780752,0.606668,0.149601,0.014257,0.222064,-0.974928
0.737313,0.224399,-1.31434,5.224885,13.499753,2.269599,-0.467246,0.868646,0.164727,0.882324,0.446234,0.149601,0.056443,0.215243,-0.974928
0.737313,0.224399,-1.186112,5.994822,13.833542,2.45091,-0.35233,0.921265,0.164727,0.932143,0.329741,0.149601,0.083505,0.206258,-0.974928
0.737313,0.224399,-0.993769,7.218275,14.140692,2.704761,-0.169725,0.971627,0.164727,0.977986,0.145473,0.149601,0.121393,0.186492,-0.974928
0.737313,0.224399,-0.801427,8.483669,14.206175,2.928614,0.019139,0.986153,0.164727,0.98776,-0.04416,0.149601,0.154804,0.159848,-0.974928
0.737313,0.224399,-0.609084,9.744333,14.027575,3.114215,0.207298,0.964309,0.164727,0.961103,-0.232165,0.149601,0.182505,0.127308,-0.974928
0.737313,0.224399,-0.416742,10.953772,13.61148,3.254717,0.387812,0.9069,0.164727,0.898999,-0.411606,0.149601,0.203476,0.090073,-0.974928
0.737313,0.224399,-0.224399,12.06738,12.973235,3.344938,0.554022,0.816042,0.164727,0.803739,-0.575867,0.149601,0.216942,0.049516,-0.974928
0.737313,0.224399,-0.032057,13.044085,12.13638,3.381552,0.699799,0.695088,0.164727,0.678835,-0.71889,0.149601,0.222407,0.007132,-0.974928
0.737313,0.224399,0.096171,13.601126,11.483112,3.375429,0.782939,0.599893,0.164727,0.581332,-0.799795,0.149601,0.221493,-0.021367,-0.974928
0.737313,0.224399,0.288514,14.272711,10.386938,3.320697,0.883176,0.439165,0.164727,0.417724,-0.896173,0.149601,0.213324,-0.063313,-0.974928
0.737313,0.224399,0.480856,14.726058,9.187542,3.21325,0.950839,0.262239,0.164727,0.23871,-0.959498,0.149601,0.197287,-0.102924,-0.974928
0.737313,0.224399,0.673198,14.944444,7.929159,3.057053,0.983434,0.075642,0.164727,0.050892,-0.987436,0.149601,0.173974,-0.13874,-0.974928
0.737313,0.224399,0.865541,14.919818,6.6582,2.857865,0.979759,-0.113744,0.164727,-0.138804,-0.978955,0.149601,0.144244,-0.169438,-0.974928
0.737313,0.224399,1.057883,14.653085,5.42154,2.623034,0.939948,-0.298936,0.164727,-0.32338,-0.934369,0.149601,0.109195,-0.193887,-0.974928
0.737313,0.224399,1.250226,14.154085,4.26479,2.36122,0.86547,-0.473103,0.164727,-0.496029,-0.855321,0.149601,0.070118,-0.211185,-0.974928
0.737313,0.224399,1.378454,13.701134,3.559255,2.176424,0.797866,-0.579892,0.164727,-0.601333,-0.784868,0.149601,0.042537,-0.218417,-0.974928
0.737313,0.224399,1.570796,12.85985,2.628322,1.891428,0.672301,-0.721718,0.164727,-0.740278,-0.655445,0.149601,0.0,-0.222521,-0.974928
0.737313,0.288514,-1.442568,4.393723,12.966612,2.662261,-0.576029,0.789826,0.21063,0.816619,0.544557,0.191288,0.036385,0.282192,-0.958668
0.737313,0.288514,-1.250226,5.476474,13.563164,3.019186,-0.414425,0.885374,0.21063,0.905657,0.378411,0.191288,0.089657,0.270033,-0.958668
0.737313,0.288514,-1.057883,6.661632,13.935922,3.353956,-0.237536,0.948268,0.21063,0.961292,0.198309,0.191288,0.139623,0.247914,-0.958668
0.737313,0.288514,-0.865541,7.905487,14.071138,3.654225,-0.051886,0.976188,0.21063,0.981473,0.010893,0.191288,0.184439,0.216652,-0.958668
0.737313,0.288514,-0.737313,8.744716,14.026482,3.829702,0.073373,0.974809,0.21063,0.974809,-0.114705,0.191288,0.21063,0.191288,-0.958668
0.737313,0.288514,-0.54497,9.984149,13.759132,4.048673,0.258363,0.942806,0.21063,0.934905,-0.298932,0.191288,0.243312,0.147497,-0.958668
0.737313,0.288514,-0.352628,11.159739,13.260759,4.20752,0.433824,0.876032,0.21063,0.860521,-0.472135,0.191288,0.26702,0.098266,-0.958668
0.737313,0.288514,-0.160285,12.228128,12.549746,4.300384,0.593285,0.776948,0.21063,0.7544,-0.627925,0.191288,0.28088,0.045411,-0.958668
0.737313,0.288514,0.032057,13.149912,11.652314,4.32384,0.730864,0.649209,0.21063,0.620455,-0.760555,0.191288,0.284381,-0.00912,-0.958668
0.737313,0.288514,0.224399,13.891093,10.601564,4.277024,0.841489,0.497526,0.21063,0.463627,-0.865135,0.191288,0.277394,-0.063313,-0.958668
0.737313,0.288514,0.416742,14.424337,9.436248,4.161661,0.921077,0.327493,0.21063,0.289699,-0.937808,0.191288,0.260176,-0.115172,-0.958668
0.737313,0.288514,0.54497,14.654261,8.61682,4.048673,0.955394,0.20702,0.21063,0.167396,-0.967154,0.191288,0.243312,-0.147497,-0.958668
0.737313,0.288514,0.737313,14.801362,7.357442,3.829702,0.97735,0.020571,0.21063,-0.020571,-0.981318,0.191288,0.21063,-0.191288,-0.958668
0.737313,0.288514,0.929655,14.706953,6.103148,3.558683,0.963259,-0.166638,0.21063,-0.207779,-0.95929,0.191288,0.170179,-0.228024,-0.958668
0.737313,0.288514,1.121997,14.374515,4.900197,3.245612,0.913641,-0.3477,0.21063,-0.387324,-0.901881,0.191288,0.123452,-0.25635,-0.958668
0.737313,0.288514,1.31434,13.816311,3.792957,2.902035,0.830327,-0.515938,0.21063,-0.552583,-0.811209,0.191288,0.072172,-0.275222,-0.958668
0.737313,0.288514,1.506682,13.052926,2.822264,2.540624,0.716389,-0.665148,0.21063,-0.697463,-0.690619,0.191288,0.01823,-0.283943,-0.958668
0.737313,0.352628,-1.506682,3.929083,12.600347,3.083858,-0.626408,0.736375,0.255666,0.779181,0.582207,0.232189,0.022128,0.344655,-0.938468
0.737313,0.352628,-1.378454,4.594448,13.056309,3.377934,-0.5271,0.810432,0.255666,0.847235,0.477788,0.232189,0.06602,0.338996,-0.938468
0.737313,0.352628,-1.186112,5.697545,13.563562,3.80395,-0.362459,0.896247,0.255666,0.922944,0.307021,0.232189,0.129604,0.320125,-0.938468
0.737313,0.352628,-0.993769,6.890208,13.84275,4.197941,-0.184449,0.949006,0.255666,0.964614,0.12493,0.232189,0.188409,0.289446,-0.938468
0.737313,0.352628,-0.801427,8.128449,13.883574,4.545375,0.000363,0.966765,0.255666,0.970707,-0.061768,0.232189,0.240264,0.248093,-0.938468
0.737313,0.352628,-0.609084,9.366601,13.684529,4.833437,0.185162,0.948868,0.255666,0.940999,-0.246188,0.232189,0.283259,0.197589,-0.938468
0.737313,0.352628,-0.416742,10.558998,13.252957,5.051504,0.363131,0.895975,0.255666,0.876585,-0.421528,0.232189,0.315806,0.139798,-0.938468
0.737313,0.352628,-0.224399,11.661663,12.604774,5.191533,0.527708,0.810036,0.255666,0.779842,-0.581322,0.232189,0.336706,0.076851,-0.938468
0.737313,0.352628,-0.096171,12.326656,12.063814,5.238856,0.626961,0.735904,0.255666,0.699101,-0.676273,0.232189,0.343769,0.033163,-0.938468
0.737313,0.352628,0.096171,13.191711,11.111292,5.238856,0.756074,0.602484,0.255666,0.556934,-0.797441,0.232189,0.343769,-0.033163,-0.938468
0.737313,0.352628,0.288514,13.869935,10.021147,5.153908,0.857301,0.446844,0.255666,0.394226,-0.889199,0.232189,0.33109,-0.098266,-0.938468
0.737313,0.352628,0.480856,14.336314,8.833587,4.987146,0.92691,0.274723,0.255666,0.216978,-0.948161,0.232189,0.3062,-0.159745,-0.938468
0.737313,0.352628,0.673198,14.573646,7.59241,4.744719,0.962333,0.09247,0.255666,0.031728,-0.972153,0.232189,0.270017,-0.215332,-0.938468
0.737313,0.352628,0.865541,14.573179,6.343392,4.435568,0.962263,-0.093193,0.255666,-0.154693,-0.960291,0.232189,0.223875,-0.262977,-0.938468
0.737313,0.352628,0.993769,14.440403,5.529146,4.197941,0.942445,-0.215479,0.255666,-0.276222,-0.932625,0.232189,0.188409,-0.289446,-0.938468
0.737313,0.352628,1.186112,14.047982,4.368803,3.80395,0.883875,-0.391662,0.255666,-0.449408,-0.862624,0.232189,0.129604,-0.320125,-0.938468
0.737313,0.352628,1.378454,13.43715,3.319512,3.377934,0.792706,-0.5534,0.255666,-0.606018,-0.760809,0.232189,0.06602,-0.338996,-0.938468
0.737313,0.352628,1.570796,12.630434,2.419972,2.935603,0.672301,-0.694728,0.255666,-0.740278,-0.630933,0.232189,0.0,-0.345365,-0.938468
0.737313,0.416742,-1.442568,4.087184,12.688221,3.787467,-0.580219,0.757334,0.299652,0.812814,0.515049,0.272136,0.051763,0.40146,-0.914413
0.737313,0.416742,-1.250226,5.128838,13.24745,4.295247,-0.424748,0.854282,0.299652,0.896281,0.350174,0.272136,0.127551,0.384162,-0.914413
0.737313,0.416742,-1.057883,6.275449,13.585201,4.771508,-0.253612,0.919723,0.299652,0.946692,0.172385,0.272136,0.198634,0.352695,-0.914413
0.737313,0.416742,-0.929655,7.077397,13.680822,5.062763,-0.133918,0.944603,0.299652,0.960964,0.049909,0.272136,0.242105,0.324399,-0.914413
0.737313,0.416742,-0.737313,8.303755,13.626013,5.448328,0.04912,0.952783,0.299652,0.952783,-0.134708,0.272136,0.299652,0.272136,-0.914413
0.737313,0.416742,-0.54497,9.517975,13.335765,5.759847,0.230347,0.925823,0.299652,0.909463,-0.314356,0.272136,0.346148,0.209837,-0.914413
